"epsg_type_id","epsg_code","created","last_modified"
"176945a4-aae8-480c-b8d3-f439fa4803b6",26913,"2018-07-24 16:47:42.318+00","2018-07-24 16:47:42.319+00"
"18cbe740-02b9-465c-b39c-5613f035ab1e",4269,"2018-07-24 16:47:20.401+00","2018-07-24 16:47:20.401+00"
"2615acb1-ad3e-4b28-a2a0-50dabc46c3b6",2278,"2018-07-24 16:46:18.81+00","2018-07-24 16:46:18.81+00"
"2c46cfc7-34b3-4874-a74e-540aabc9f029",3081,"2018-07-24 16:46:51.11+00","2018-07-24 16:46:51.11+00"
"4842b079-737d-40cb-86af-01437694a048",4326,"2018-07-24 16:47:27.487+00","2018-07-24 16:47:27.487+00"
"4d8bd1fa-668c-4f7d-af5f-a26259675231",3857,"2018-07-24 16:47:06.674+00","2018-07-24 16:47:06.674+00"
"4e3a2703-0aea-44f2-b1f6-1031be1eb037",2964,"2018-07-24 16:46:44.048+00","2018-07-24 16:46:44.048+00"
"649be27a-46ff-4e61-af3b-c3b1c82ec32b",6344,"2018-07-24 16:47:34.239+00","2018-07-24 16:47:34.239+00"
"8afc240b-dcea-4e06-9dbc-a773d2fe0dcc",32614,"2018-07-24 16:48:57.211+00","2018-07-24 16:48:57.211+00"
"8facce08-0b55-4b9d-8b13-2664fac1f507",26916,"2018-07-24 16:48:41.575+00","2018-07-24 16:48:41.575+00"
"a3fc3a87-78a0-43f2-ad5b-5dcf890587e3",2277,"2018-07-24 16:46:08.923+00","2018-07-24 16:46:08.923+00"
"a7af5118-324a-4788-b677-66c2daa0f75e",3083,"2018-07-24 16:46:58.805+00","2018-07-24 16:46:58.805+00"
"b194d365-3e97-442e-9052-0d98d7d5d530",2279,"2018-07-24 16:46:28.108+00","2018-07-24 16:46:28.108+00"
"b53e7baa-96a1-44ac-8ed2-e569861e3ce2",26914,"2018-07-24 16:47:56.134+00","2018-07-24 16:47:56.134+00"
"b9e14716-d743-4b6e-9df8-fcff626cc643",32613,"2018-07-24 16:48:49.737+00","2018-07-24 16:48:49.737+00"
"ba163cfa-61be-414b-b4b2-97fbd2a86a91",2276,"2018-07-24 16:45:34.728+00","2018-07-24 16:45:34.728+00"
"bd7c7cb9-0299-4f9d-8503-b1b597e28c8c",2919,"2018-07-24 16:46:35.711+00","2018-07-24 16:46:35.711+00"
"d68af081-c8cb-4289-9a54-cb66b3c80d4e",26915,"2018-07-24 16:48:11.934+00","2018-07-24 16:48:11.934+00"
"e2e07ba9-fe5b-43e9-9dd3-721e1d324c87",4267,"2018-07-24 16:47:13.773+00","2018-07-24 16:47:13.773+00"
