USGS_Num,USGS_Nm,TNRIS_Num,GAT_Num
36102a1,Dalhart,3602a1,3602-a1
36100a1,Perryton,3600a1,3600-a1
35102a1,Tucumcari,3502a1,3502-a1
35100a1,Amarillo,3500a1,3500-a1
34102a1,Clovis,3402a1,3402-a1
34100a1,Plainview,3400a1,3400-a1
34098a1,Lawton,3498a1,3498-a1
34096a1,Ardmore,3496a1,3496-a1
33102a1,Brownfield,3302a1,3302-a1
33100a1,Lubbock,3300a1,3300-a1
33098a1,Wichita Falls,3398a1,3398-a1
33096a1,Sherman,3396a1,3396-a1
33094a1,Texarkana,3394a1,3394-a1
32106a1,Las Cruces,3206a1,3206-a1
32104a1,Carlsbad,3204a1,3204-a1
32102a1,Hobbs,3202a1,3202-a1
32100a1,Big Spring,3200a1,3200-a1
32098a1,Abilene,3298a1,3298-a1
32096a1,Dallas,3296a1,3296-a1
32094a1,Tyler,3294a1,3294-a1
31106a1,El Paso,3106a1,3106-a1
31104a1,Van Horn,3104a1,3104-a1
31102a1,Pecos,3102a1,3102-a1
31100a1,San Angelo,3100a1,3100-a1
31098a1,Brownwood,3198a1,3198-a1
31096a1,Waco,3196a1,3196-a1
31094a1,Palestine,3194a1,3194-a1
31092a1,Alexandria,3192a1,3192-a1
30104a1,Marfa,3004a1,3004-a1
30102a1,Fort Stockton,3002a1,3002-a1
30100a1,Sonora,3000a1,3000-a1
30098a1,Llano,3098a1,3098-a1
30096a1,Austin,3096a1,3096-a1
30094a1,Beaumont,3094a1,3094-a1
30092a1,Lake Charles,3092a1,3092-a1
29104a1,Presidio,2904a1,2904-a1
29102a1,Emory Peak,2902a1,2902-a1
29100a1,Del Rio,2900a1,2900-a1
29098a1,San Antonio,2998a1,2998-a1
29096a1,Seguin,2996a1,2996-a1
29094a1,Houston,2994a1,2994-a1
29092a1,Port Arthur,2992a1,2992-a1
28100a1,Eagle Pass,2800a1,2800-a1
28098a1,Crystal City,2898a1,2898-a1
28096a1,Beeville,2896a1,2896-a1
28094a1,Bay City,2894a1,2894-a1
27098a1,Laredo,2798a1,2798-a1
27096a1,Corpus Christi,2796a1,2796-a1
26098a1,McAllen,2698a1,2698-a1
25097a1,Brownsville,2597a1,2597-a1
26096a1,Port Isabel,2696a1,2696-a1
